cluster_id,n_matched_bins,mean_delta_frac,median_delta_frac,rms_delta_frac,redchi2_raw,redchi2_corrected,quality_class,gaia_error_scale,gaia_systematic_floor_masyr,median_gaia_density_arcmin2,n_apogee_rows,n_gaia_sources,n_gaia_primary_p90_q2,apogee_rv_median_kms,apogee_feh_median
NGC0104,25,-0.0436913345417107,-0.0506332519936577,0.0536702713684711,1.02222398602137,0.983439734247209,A_Gaia_HST_consistent,1.025,0.0,98.93,302,144761,56103,-17.7835550308228,-0.748539984226227
NGC0288,5,-0.0211223605659451,-0.0209255570345354,0.041533159149086,0.166907407194523,0.166907407194523,A_Gaia_HST_consistent,1.0,0.0,142.1,43,12191,5845,-44.3607978820801,-1.26979994773865
NGC0362,18,0.0336194010595805,0.0331349149867804,0.0505171705243276,0.202109885655781,0.202109885655781,A_Gaia_HST_consistent,1.0,0.0,151.3,70,19537,6306,223.822959899902,-1.11119997501373
NGC1261,19,0.266256712125943,0.267372970257571,0.27432618591243,3.30437331455441,0.995067901930964,C_correction_required,1.875,0.0,217.35,0,6084,2065,,
NGC1851,18,0.152047310633844,0.159805888227272,0.157982011000213,1.65188089519087,0.987188151645655,B_small_correction,1.325,0.0,189.7,71,12688,4648,320.137237548828,-1.12489998340607
NGC2298,6,-0.141553839068531,-0.154842278301441,0.150816059329156,1.66019353732142,0.999659247498916,B_small_correction,1.45,0.0,126.75,12,4190,1470,147.034385681152,-1.83155000209808
NGC2808,22,-0.0902436634467231,-0.0932507532688786,0.111175083541964,0.78407017456336,0.78407017456336,A_Gaia_HST_consistent,1.0,0.0,114.8,132,32225,7879,102.335815429688,-1.0869500041008
NGC3201,5,-0.0128249623761044,0.0186759348865915,0.0592771711780948,1.55338914314697,1.00278279455622,A_Gaia_HST_consistent,1.7,0.0008333333333333,30.88,215,63171,18553,495.271667480469,-1.35565000772476
NGC4590,5,0.0752045944876173,0.0952768772566865,0.0852762478471493,0.499050409066337,0.499050409066337,A_Gaia_HST_consistent,1.0,0.0,77.38,41,10305,4124,-92.8566970825195,-2.22790002822876
NGC4833,11,0.0092587178233189,-0.0030978224270052,0.0424789176799575,0.205317624426465,0.205317624426465,A_Gaia_HST_consistent,1.0,0.0,70.44,0,30883,3320,,
NGC5024,16,-0.0696858114631319,-0.0754277943054894,0.0827139797708804,0.65803292562529,0.65803292562529,A_Gaia_HST_consistent,1.0,0.0,81.56,41,11051,4961,-62.5875625610352,-1.90670001506805
NGC5053,5,-0.368307422951829,-0.381450673860008,0.381119729977784,5.50209829022953,1.00351599589965,D_not_reliable_in_overlap,2.5,0.0041666666666666,35.59,17,3245,2008,43.538818359375,-2.21860003471375
NGC5272,15,0.0583618386167434,0.0677904141537471,0.0654348111891462,0.434443098193891,0.434443098193891,A_Gaia_HST_consistent,1.0,0.0,110.95,0,28762,13220,,
NGC5286,11,-0.111765680031902,-0.115047521669262,0.132588163333468,1.46630682734285,0.985354662997207,B_small_correction,1.275,0.0,93.345,0,11760,2286,,
NGC5466,5,-0.2497102460533,-0.24287528571438,0.250058835111569,4.43820095342189,0.996254217710442,C_correction_required,1.125,0.0075,72.3,0,5567,3134,,
NGC5897,5,-0.211534240385097,-0.203283198443961,0.213338617283295,2.31308281734248,0.997726845354339,C_correction_required,1.7,0.0,102.15,0,8224,3141,,
NGC5904,16,0.0273440136449181,0.0235314184663862,0.0386623743085673,0.0907085976825083,0.0907085976825083,A_Gaia_HST_consistent,1.0,0.0,94.59,0,28523,11843,,
NGC5927,17,0.0252110940246976,0.0321592981379976,0.0464973955840796,0.227991470781879,0.227991470781879,A_Gaia_HST_consistent,1.0,0.0,107.0,0,37264,1058,,
NGC5986,17,-0.0007296746482782,-0.0041270463484652,0.0270300164787462,0.0324967908851559,0.0324967908851559,A_Gaia_HST_consistent,1.0,0.0,100.7,0,11293,1475,,
NGC6093,13,-0.0982972598903604,-0.104915308161472,0.114282234505122,0.726149829922403,0.726149829922403,A_Gaia_HST_consistent,1.0,0.0,101.1,0,7749,1599,,
NGC6101,8,0.25076305964825,0.260041774562302,0.259708908059587,6.33569678840281,0.997137634777253,C_correction_required,1.05,0.0125,65.81,0,13365,3836,,
NGC6121,5,-0.0670184803461465,-0.0581611155371522,0.0697422709136546,1.57146525982763,1.00771545052681,A_Gaia_HST_consistent,1.625,0.0,20.47,0,69417,14607,,
NGC6144,5,-0.0852937240861229,-0.0899287977056413,0.104988748608242,1.25049245106034,1.001107573545,A_Gaia_HST_consistent,1.15,0.0008333333333333,100.3,0,5618,1308,,
NGC6171,6,0.0151010383253305,0.0073505474071114,0.0595078832755076,0.287129517766709,0.287129517766709,A_Gaia_HST_consistent,1.0,0.0,111.15,0,10684,3915,,
NGC6205,19,-0.109828602112733,-0.0993901361024447,0.116061306833671,1.69786307685125,0.98900988728891,B_small_correction,1.35,0.0,187.85,0,37720,14484,,
NGC6218,11,0.102297084156733,0.0922668952662506,0.121620334057561,1.34261992774461,0.99812059699726,B_small_correction,1.2,0.0,132.5,0,22224,8123,,
NGC6254,15,-0.08555886815549,-0.0851364445384011,0.0942911360928963,1.49454144389743,1.01287415690509,A_Gaia_HST_consistent,1.325,0.0,87.405,0,32290,10037,,
NGC6304,8,-0.0871371615745218,-0.116649647736682,0.100066493602273,1.018028531447,0.999470456363775,A_Gaia_HST_consistent,1.0,0.0025,191.7,0,15428,232,,
NGC6341,20,0.186236350494845,0.199193713515907,0.191014333242791,1.63994791090171,1.01573018095575,B_small_correction,1.3,0.0,192.0,0,18601,6925,,
NGC6352,6,-0.0420565864159025,-0.0515188196368968,0.0675763313410333,0.967472275753172,0.967472275753172,A_Gaia_HST_consistent,1.0,0.0,95.96,0,34948,1783,,
NGC6362,10,0.0546142648513381,0.0543784689068968,0.0714571409783947,0.633715953938483,0.633715953938483,A_Gaia_HST_consistent,1.0,0.0,136.4,0,23789,7073,,
NGC6366,3,7.48949205549021e-05,0.0011011514944556,0.0557272156538997,0.808778263876874,0.808778263876874,A_Gaia_HST_consistent,1.0,0.0,42.32,0,13858,5560,,
NGC6388,31,-0.0015790016713923,0.0158847008609746,0.0545534679966032,0.107423495505616,0.107423495505616,A_Gaia_HST_consistent,1.0,0.0,99.53,0,35425,600,,
NGC6397,6,0.0469466960205782,0.0338997477578274,0.0968288155968829,2.68404366100792,1.00348072445256,A_Gaia_HST_consistent,2.5,0.0108333333333333,45.26,0,103786,20293,,
NGC6441,27,0.171917013840877,0.179174694824815,0.18295816793062,1.12549469023669,0.981275185985871,B_small_correction,1.075,0.0,188.0,0,22109,369,,
NGC6496,3,-0.288841789615128,-0.269053807085252,0.292045148532258,5.36338299178973,1.00323170952037,C_correction_required,2.5,0.0058333333333333,108.6,0,8632,924,,
NGC6535,4,-0.241999908227531,-0.240945911005155,0.263990358075978,4.835528372504,1.0027656352873,C_correction_required,2.425,0.0166666666666667,50.785,0,2764,565,,
NGC6541,20,0.0313419716191096,0.0141925795129117,0.0779627727364563,0.494761259470095,0.494761259470095,A_Gaia_HST_consistent,1.0,0.0,72.34,0,37666,3330,,
NGC6584,5,0.0012813122646547,-0.014637019155526,0.0738400022130887,0.326910786739007,0.326910786739007,A_Gaia_HST_consistent,1.0,0.0,84.495,0,5840,1047,,
NGC6624,18,-0.0853531377504844,-0.0876115162264606,0.0967248840765223,0.472953763511788,0.472953763511788,A_Gaia_HST_consistent,1.0,0.0,160.2,0,8578,181,,
NGC6637,22,0.0201214116803051,0.0215705792890134,0.0413613310684374,0.064984208233862,0.064984208233862,A_Gaia_HST_consistent,1.0,0.0,110.5,0,9558,415,,
NGC6652,7,0.142746124890803,0.113024079217406,0.187387888992684,0.757505901039045,0.757505901039045,B_small_correction,1.0,0.0,138.0,0,3880,387,,
NGC6656,15,-0.0154258906830042,-0.0142996775567733,0.0350747071399375,0.0739868886204867,0.0739868886204867,A_Gaia_HST_consistent,1.0,0.0,149.0,0,194072,8451,,
NGC6681,13,-0.290228495051869,-0.287662568801812,0.292178483913756,4.35657921124193,0.989708151967992,C_correction_required,2.2,0.0,84.83,0,10679,763,,
NGC6715,16,0.0138772908695767,0.0158094592780372,0.0791195179966598,0.168005241343087,0.168005241343087,A_Gaia_HST_consistent,1.0,0.0,76.04,0,9975,1710,,
NGC6717,5,-0.21527169653375,-0.171391995205119,0.230903661088107,2.84453330945982,0.991491337986539,C_correction_required,1.925,0.0,84.915,0,2588,289,,
NGC6723,11,0.0817001663465725,0.071864555827033,0.0974958734192657,0.49556094018243,0.49556094018243,A_Gaia_HST_consistent,1.0,0.0,80.495,0,15708,2623,,
NGC6752,16,-0.0648376779278821,-0.0746378962846052,0.091993118240238,1.43553217246512,1.01312784202848,A_Gaia_HST_consistent,1.275,0.0,80.905,0,54820,21066,,
NGC6779,5,-0.0715010405184753,-0.0527181492861873,0.0955361167675668,1.16697053129043,0.996753905149052,A_Gaia_HST_consistent,1.125,0.0,81.03,0,13064,2392,,
NGC6809,7,-0.0217678614074906,-0.0235728691038902,0.0331258116577551,0.133233163285223,0.133233163285223,A_Gaia_HST_consistent,1.0,0.0,118.7,0,30889,9508,,
NGC6838,4,-0.0166127438776048,-0.0133638562414312,0.0355300588723008,0.317315907992612,0.317315907992612,A_Gaia_HST_consistent,1.0,0.0,96.24,0,34560,3360,,
NGC6934,16,-0.0569491632586475,-0.0371789056447698,0.0875371162846188,0.336117185752393,0.336117185752393,A_Gaia_HST_consistent,1.0,0.0,107.2,0,4614,984,,
NGC6981,3,-0.491647466395252,-0.505605897762885,0.493306674979618,23.4553778028298,1.00027702835772,D_not_reliable_in_overlap,1.1,0.0391666666666667,166.7,0,3510,1103,,
NGC7078,19,-0.0797900902077423,-0.0912425919575189,0.118315577945128,0.922795477637403,0.922795477637403,A_Gaia_HST_consistent,1.0,0.0,109.0,0,19770,7268,,
NGC7089,25,0.0777918679673224,0.0778331879509653,0.103629868955425,0.742783151134704,0.742783151134704,A_Gaia_HST_consistent,1.0,0.0,114.9,0,13189,4583,,
NGC7099,12,0.0719834892672259,0.0729184357635098,0.076137455909347,0.30155270610865,0.30155270610865,A_Gaia_HST_consistent,1.0,0.0,120.6,0,9770,4231,,
